Date,Date,Value
1989,1989,71.86600000000001
1990,1990,104.16399999999999
1991,1991,97.04
1992,1992,77.94
1993,1993,90.46000000000001
1994,1994,81.16
1995,1995,78.064
1996,1996,103.92
1997,1997,130.07999999999998
1998,1998,89.64000000000001
1999,1999,104.9
2000,2000,89.19999999999999
2001,2001,105.7
2002,2002,93.9
2003,2003,80.25999999999999
2004,2004,93.86
2005,2005,85.67999999999999
2006,2006,100.67999999999999
2007,2007,84.5
2008,2008,136.04
2009,2009,109.31999999999998
2010,2010,105.92
2011,2011,138.88
2012,2012,105.3
2013,2013,112.7
2014,2014,117.76000000000002
2015,2015,72.02000000000001
2016,2016,111.67999999999999
2017,2017,74.22
2018,2018,88.52
